#Time Size
86738 271
84850 271
83875 272
86265 272
86177 272
83490 272
85226 272
84507 272
85696 272
87171 272
92237 272
91913 272
89378 273
89363 273
91552 273
92616 273
91070 273
90975 273
90950 273
90841 273
90597 273
89900 273
93068 274
91442 274
93037 274
95606 274
90703 274
92104 274
90096 274
91830 274
87544 274
86111 274
85660 275
85753 275
85811 275
85739 275
86297 275
85642 275
86977 275
86132 275
92312 275
86428 275
86851 276
87701 276
87446 276
85324 276
84000 276
88129 276
85392 276
87108 276
87110 276
85208 276
95058 277
92195 277
91826 277
95659 277
95099 277
92720 277
92231 277
94370 277
94314 277
91391 277
93324 278
91694 278
93336 278
92187 278
94789 278
94296 278
93187 278
92121 278
93281 278
92963 278
87909 279
87301 279
86794 279
88851 279
90538 279
88043 279
86158 279
87755 279
86464 279
90648 279
88084 280
87430 280
87218 280
88499 280
86906 280
92403 280
86805 280
90318 280
88102 280
92150 280
90172 281
95206 281
94187 281
93848 281
94042 281
93672 281
94978 281
93835 281
93995 281
94696 281
93736 282
93848 282
96113 282
97526 282
93527 282
95332 282
95017 282
95826 282
96225 282
95836 282
96186 283
90867 283
88600 283
90970 283
88912 283
91193 283
90020 283
92262 283
90048 283
87804 283
89600 284
90245 284
92723 284
90380 284
88901 284
87607 284
90871 284
89814 284
91804 284
88926 284
89620 285
89472 285
97104 285
94489 285
98592 285
95669 285
97644 285
94885 285
96322 285
95579 285
95730 286
98586 286
95977 286
98616 286
95083 286
95519 286
99310 286
97688 286
98039 286
94793 286
97285 287
90002 287
93057 287
91314 287
91619 287
90153 287
92943 287
89342 287
91786 287
93360 287
91962 288
94329 288
92933 288
